Name,Team,pff_id,pff_franchise_id,ID,player_id,team_id,Position,Role,Years,date_signed,year_signed,start_year,Total,APY,Guarantee,GPY,GP,total_guarantees,vested_guarantees,signing_bonus,option_bonus,roster_bonus,pergame_bonus,workout_bonus,incentives,FA,Status,is_featured,is_front,contract_type,ID2
Alex Mack,Falcons,4944,2,1034,266,25,C,Offense,5,3/10/2016,2016,2016,45000000,9000000,20000000,4000000,44.40%,28500000,8500000,11500000,0,0,0,0,0,2021,Active,,0,UFA,0
Lavonte David,Buccaneers,7060,30,1118,350,28,ILB,Defense,5,8/11/2015,2015,2016,50250000,10050000,10738418,0,0.00%,25556709,14818291,0,0,10000000,0,0,4500000,,Active,,0,Extension,0
Patrick Peterson,Cardinals,6157,1,1185,417,29,CB,Defense,5,8/1/2014,2014,2016,70050000,14010000,16250000,0,0.00%,48000000,31119114,15361886,0,250000,0,1350000,0,,Active,,0,Extension,0
Lawrence Guy,Patriots,6385,19,1342,576,2,43DT,Defense,4,3/12/2017,2017,2017,14400000,3600000,4900000,0,0.00%,6300000,0,4000000,0,0,2000000,800000,5600000,,Active,,,UFA,
T.Y. Hilton,Colts,7092,14,1361,595,10,WR,Offense,5,8/13/2015,2015,2016,65000000,13000000,11000000,0,0.00%,39000000,28000000,10000000,0,0,0,0,0,,Active,,0,Extension,0
Tyron Smith,Cowboys,6161,9,1429,663,18,LT,Offense,8,7/29/2014,2014,2016,97600000,12200000,22118013,0,0.00%,40000000,0,10000000,0,0,0,0,0,,Active,,,Extension,
Tyrone Crawford,Cowboys,7083,9,1430,664,18,43DT,Defense,5,9/14/2015,2015,2016,45000000,9000000,17425000,0,0.00%,24675000,7250000,10000000,0,0,0,0,0,,Active,,,Extension,
Jeffrey Jansen,Panthers,4712,5,1930,1171,26,LS,Special,5,0000-00-00,2016,2016,5475000,1095000,700000,140000,12.80%,700000,0,700000,0,0,0,0,0,2021,Active,,0,UFA,0
Chandler Jones,Cardinals,7027,1,1965,1206,29,34OLB,Defense,5,3/12/2017,2017,2017,82500000,16500000,31000000,0,0.00%,53000000,22000000,15000000,0,0,0,0,0,,Active,,,Franchise,
Dont'a Hightower,Patriots,7030,19,1973,1214,2,43OLB,Defense,4,3/15/2017,2017,2017,35500000,8875000,17000000,0,0.00%,19000000,2000000,10000000,0,0,3500000,0,8000000,,Active,,,UFA,
Marcus Cannon,Patriots,6290,19,1987,1228,2,RT,Offense,5,11/29/2016,2016,2017,32500000,6500000,12350000,0,0.00%,14500000,2150000,7000000,0,0,2500000,750000,5400000,,Active,,,Extension,
Ryan Kerrigan,Football Team,6168,32,2216,1462,20,34OLB,Defense,5,7/30/2015,2015,2016,57500000,11500000,23788000,0,0.00%,23788000,0,16000000,0,0,1500000,0,0,,Active,,0,Extension,0
David DeCastro,Steelers,7640,25,2346,1592,8,RG,Offense,5,9/9/2016,2016,2017,50000000,10000000,16000000,0,0.00%,16000000,0,16000000,0,10540000,0,0,0,,Active,,,Extension,
J.J. Watt,Texans,6163,13,2421,1669,9,34DE,Defense,6,9/2/2014,2014,2016,100000000,16666667,20876385,0,0.00%,51876385,31000000,10000000,0,10000000,0,0,0,,Active,,0,Extension,0
Harrison Smith,Vikings,7641,18,2530,1779,24,S,Defense,5,6/6/2016,2016,2017,51250000,10250000,15278000,0,0.00%,28578000,13300000,10000000,0,0,1400000,600000,0,,Active,,,Extension,
Morgan Cox,Ravens,6020,3,2548,1798,5,LS,Special,5,0000-00-00,2016,2016,5600000,1120000,700000,140000,12.50%,700000,0,700000,0,0,0,0,0,2021,Active,,0,UFA,399
Fletcher Cox,Eagles,7018,24,2574,1824,19,43DT,Defense,6,6/17/2016,2016,2017,102600000,17100000,36299000,0,0.00%,63299000,27000000,26000000,6000000,3000000,0,0,0,,Active,,,Extension,
Nick Sundberg,Football Team,5512,32,2780,2035,20,LS,Special,4,0000-00-00,2017,2017,4400000,1100000,610000,0,0.00%,610000,0,610000,0,0,0,0,0,,Active,,0,UFA,0
Eric Fisher,Chiefs,7783,16,2925,2182,14,LT,Offense,4,7/31/2016,2016,2018,48000000,12000000,22000000,0,0.00%,40000000,18000000,12750000,0,0,1500000,1050000,2500000,,Active,,,Extension,
Shawn Williams,Bengals,7865,7,2976,2233,7,S,Defense,4,5/17/2016,2016,2017,19500000,4875000,4000000,0,0.00%,4000000,0,2000000,0,2000000,1250000,1500000,2000000,,Active,,,Extension,
Kawann Short,Panthers,7825,5,2997,2254,26,34DE,Defense,5,4/17/2017,2017,2017,80500000,16100000,35000000,0,0.00%,45000000,10000000,20000000,0,0,2500000,2000000,0,,Active,,,Franchise,
Kyle Juszczyk,49ers,7912,28,3040,2298,31,FB,Offense,4,3/10/2017,2017,2017,21000000,5250000,7000000,0,0.00%,9750000,2750000,5000000,0,0,1600000,400000,0,,Active,,0,UFA,0
Terron Armstead,Saints,7856,20,3050,2308,27,LT,Offense,5,5/4/2016,2016,2017,65000000,13000000,20880000,0,0.00%,38000000,17120000,11000000,0,2000000,1500000,41000,0,,Active,,,Extension,
William Gholston,Buccaneers,7908,30,3053,2311,28,34DE,Defense,5,3/6/2017,2017,2017,27500000,5500000,13500000,0,0.00%,13500000,0,0,0,4000000,0,0,9000000,,Active,,,UFA,
Micah Hyde,Bills,7941,4,3062,2320,1,S,Defense,5,3/9/2017,2017,2017,30500000,6100000,10300000,0,0.00%,14000000,3700000,8000000,0,2000000,2000000,500000,2000000,,Active,,,UFA,
David Bakhtiari,Packers,7891,12,3119,2377,23,LT,Offense,4,9/13/2016,2016,2017,48000000,12000000,16000000,0,0.00%,16000000,0,16000000,0,8696000,2000000,2000000,2000000,,Active,,,Extension,
Abry Jones,Jaguars,8177,15,3281,2548,11,43DT,Defense,4,2/15/2017,2017,2017,15500000,3875000,6500000,0,0.00%,6500000,0,0,0,1000000,0,1200000,300000,,Active,,,UFA,
Charley Hughlett,Browns,7336,8,3635,2907,6,LS,Special,6,0000-00-00,2017,2017,6370000,1061667,850000,0,0.00%,850000,0,0,0,850000,0,0,0,,Active,,0,ERFA,0
Alejandro Villanueva,Steelers,9091,25,3667,2939,8,LT,Offense,4,7/28/2017,2017,2017,24000000,6000000,6500000,0,0.00%,6500000,0,6500000,0,3000000,0,0,0,,Active,,0,ERFA,0
Joel Bitonio,Browns,8670,8,3702,2974,6,LG,Offense,5,3/9/2017,2017,2018,50000000,10000000,17164777,0,0.00%,23664777,6500000,0,0,8000000,3000000,0,2500000,,Active,,,Extension,
Morgan Moses,Football Team,8701,32,3733,3005,20,RT,Offense,5,4/27/2017,2017,2018,40000000,8000000,14047000,0,0.00%,20000000,4750000,9500000,0,0,1500000,0,2500000,,Active,,0,Extension,0
James White,Patriots,8765,19,3797,3069,2,RB,Offense,3,4/19/2017,2017,2018,12000000,4000000,4690000,0,0.00%,4690000,0,4000000,0,0,1500000,0,3000000,,Active,,,Extension,
Daniel Sorensen,Chiefs,9253,16,4152,3424,14,S,Defense,4,3/13/2017,2017,2017,16000000,4000000,4690000,0,0.00%,7790000,3100000,4000000,0,0,300000,160000,2400000,,Active,,0,RFA,0
James Winchester,Chiefs,8580,16,4554,3826,14,LS,Special,5,0000-00-00,2017,2017,4450000,890000,500000,100000,11.20%,500000,0,500000,0,0,0,0,0,2022,Active,,0,ERFA,0
David Andrews,Patriots,9948,19,5194,4468,2,C,Offense,3,5/12/2017,2017,2018,9000000,3000000,1600000,0,0.00%,1600000,0,1600000,0,0,1500000,0,2100000,,Active,,,Extension,
Sheldon Rankins,Saints,10646,20,5451,4725,27,43DT,Defense,4,0000-00-00,2016,2016,12801646,3200412,12801646,0,0.00%,12801646,0,7510288,0,0,0,0,0,,Active,,,Drafted,
Keanu Neal,Falcons,10651,2,5456,4730,25,S,Defense,4,5/6/2016,2016,2016,10737646,2684412,10737646,0,0.00%,10737646,0,6009196,0,0,0,0,0,,Active,,0,Drafted,0
Will Fuller,Texans,10655,13,5460,4734,9,WR,Offense,4,0000-00-00,2016,2016,10164312,2541078,9859270,0,0.00%,9859270,0,5592228,0,0,0,0,0,,Active,,0,Drafted,0
William Jackson III,Bengals,10658,7,5463,4737,7,CB,Defense,4,6/10/2016,2016,2016,9705642,2426411,8712145,0,0.00%,8712145,0,5258648,0,0,0,0,0,,Active,,0,Drafted,0
Melvin Ingram,Chargers,7024,27,6913,467,15,43DE,Defense,4,6/13/2017,2017,2017,64000000,16000000,34000000,0,0.00%,42000000,8000000,10500000,0,7250000,0,0,2000000,,Active,,,Franchise,
Derek Carr,Raiders,8671,23,12063,2975,16,QB,Offense,5,6/22/2017,2017,2018,125025000,25005000,40000000,0,0.00%,70200000,30200000,12500000,0,22500000,0,500000,0,,Active,,0,Extension,0
Gabe Jackson,Raiders,8716,23,12380,3020,16,RG,Offense,5,7/5/2017,2017,2018,55000000,11000000,16500000,0,0.00%,25750000,9250000,0,0,11250000,0,1250000,1200000,,Active,,,Extension,
