Name,Team,pff_id,pff_franchise_id,ID,player_id,contract_id,team_id,Position,Role,Year,BS,PB,RB,PGRB,WO,OB,option_bonus,restructure_bonus,CP,DM,CS,GBS,VGBS,Notes,CshBns,Cshpay,Cshtocp,tb,initial_cash,old_money,cash_dead,Status,contract_type,provisional,credits,is_split_salary
Dalton Schultz,Cowboys,47304,9,74088,7022,35848,18,TE,Offense,2022,10931000,0,0,0,0,0,0,0,10931000,0,0,10931000,0,,0,10931000,0,,10931000,0,0,Active,Franchise,,0,0
Russell Wilson,Broncos,7077,10,74091,1569,35851,13,QB,Offense,2022,19000000,0,5000000,0,0,0,0,0,24000000,0,0,0,0,trade sea,0,24000000,0,,24000000,0,0,Active,Extension,,0,0
Russell Wilson,Broncos,7077,10,74092,1569,35851,13,QB,Offense,2023,22000000,0,5000000,0,0,0,0,0,27000000,0,0,0,0,,0,27000000,0,,26000000,0,0,Active,Extension,,0,0
Shelby Harris,Seahawks,8869,29,74093,3174,35852,32,DE,Defense,2022,1120000,3270000,0,340000,0,0,0,6540000,4710000,0,0,1120000,0,tradeden,0,8000000,0,,8000000,0,0,Active,UFA,,0,0
Shelby Harris,Seahawks,8869,29,74094,3174,35852,32,DE,Defense,2023,6500000,3270000,2000000,500000,0,0,0,0,12270000,0,0,0,0,,0,9000000,0,,9000000,0,0,Active,UFA,,0,0
Drew Lock,Seahawks,39517,29,74095,7833,35853,32,QB,Offense,2022,1351022,0,0,0,100000,0,0,0,1451022,0,0,0,0,,0,1451022,0,,1451022,0,0,Active,Drafted,,0,0
Noah Fant,Seahawks,42388,29,74096,7811,35854,32,TE,Offense,2022,2211918,0,0,0,0,0,0,0,2211918,0,0,2211918,0,trade den,0,2211918,0,,2211918,0,0,Active,Drafted,,0,0
Salvon Ahmed,Dolphins,57472,17,74097,9168,35855,3,RB,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Elijah Campbell,Dolphins,49190,17,74098,7276,35856,3,CB,Defense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Tony Brown,Colts,49255,14,74099,7319,35857,10,CB,Defense,2022,965000,0,0,0,0,0,0,0,965000,0,0,0,0,,0,965000,0,,965000,0,0,Active,SFA,,0,1
Sam Mustipher,Bears,13026,6,74101,8125,35859,21,C,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Lachavious Simmons,Bears,20919,6,74102,8967,35860,21,RG,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
James Winchester,Chiefs,8580,16,74104,3826,35861,14,LS,Special,2022,1120000,155000,0,0,0,0,0,0,1275000,0,0,0,0,,0,1120000,0,,1120000,0,0,Active,Extension,,0,0
James Winchester,Chiefs,8580,16,74105,3826,35861,14,LS,Special,2023,1165000,155000,0,0,0,0,0,0,1320000,0,0,0,0,,0,1165000,0,,1165000,0,0,Active,Extension,,0,0
Zack Martin,Cowboys,8651,9,74107,2955,16672,18,RG,Offense,2025,0,2040000,0,0,0,0,0,0,4080000,0,0,0,0,,0,0,0,,0,0,0,Active,Extension,Void,0,0
Zack Martin,Cowboys,8651,9,74108,2955,16672,18,RG,Offense,2026,0,2040000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,Active,Extension,Void,0,0
